,ROLES,COMPANIES,LOCATIONS,EXPERIENCE,SKILLS,DATES,PRESENTDATE,SALARY,LINKS,SPECIALITY,DESCRIPTION
0,Opportunity at Persistent | Python Developer | Pun,Persistent Systems Limited.,Pune,5-8 Yrs,"('GIT', 'Linux', 'Docker', 'Django', 'MongoDB', 'Bash', 'Numpy', 'Flask')",9 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-opportunity-at-persistent-python-developer-pun-persistent-systems-limited-pune-5-to-8-years-301120001810?src=jobsearchDesk&sid=16075331657754872&xp=1&px=1,PREFERRED,Preferred Location - Experience 5 to 8 years Good communication Skills Total Experience...
1,Python Developer,Visions,Chandigarh,1-4 Yrs,"('GIT', 'Linux', 'Django', 'Html5', 'MySQL', 'Javascript', 'MongoDB', 'SQL Server')",4 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-visions-chandigarh-1-to-4-years-170919011966?src=jobsearchDesk&sid=16075331657754872&xp=2&px=1,HOT JOB,Required skills: Solid knowledge of Python and DjangoUnix / Linux experienceKnowledge o...
2,Python Backend Developer - Microservices Architecture,Hyperdimensions R&D,Pune,2-4 Yrs,"('REST API', 'Docker', 'Linux OS', 'Microservices Architecture', 'PostgreSQL', 'Django', 'Version Control System', 'Backend Architecture')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-backend-developer-microservices-architecture-hyperdimensions-r-d-pune-2-to-4-years-091220900293?src=jobsearchDesk&sid=16075331657754872&xp=3&px=1,HOT JOB,Job Location : Pune (for now work from home) Immediate joiners required Hands on experi...
3,Python Developer,SVK Global Solutions,Not Specified,3-4 Yrs,"('IT services', 'development', 'technical', 'Postgresql', 'HTML', 'it', 'cloud', 'GIT')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-svk-global-solutions-not-specified-3-to-4-years-180717501335?src=jobsearchDesk&sid=16075331657754872&xp=4&px=1,NULL,Experience: 3 to 4 years SVK Global: IT Services Outsourcing Partner Total Experience: ...
4,Cloud Developer ( Virtualization),IBM India Pvt. Limited,Bengaluru,3-5 Yrs,"('Cloud Developer', 'REST API', 'Chef', 'Puppet', 'agile development', 'Go Lang', 'No SQL DB', 'System Programming')",22 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-cloud-developer-virtualization-ibm-india-pvt-limited-bengaluru-bangalore-3-to-5-years-171120903181?src=jobsearchDesk&sid=16075331657754872&xp=5&px=1,HOT JOB,Shift between multiple projects and technologiesShould have 3-5 years of experience wit...
5,Software Engineer (Python),Perception System Pvt Ltd.,Ahmedabad,2-7 Yrs,"('code', 'Postgresql', 'testing', 'HTML', 'Backend', 'GIT', 'Linux', 'Coding')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-python-perception-system-pvt-ltd-ahmedabad-2-to-7-years-300119501464?src=jobsearchDesk&sid=16075331657754872&xp=6&px=1,NULL,We are looking for extremist in Python who can lead project backend. Responsibilities T...
6,Software Development Engineer Test,MKS Vision Pvt. Ltd.,Hyderabad,5-10 Yrs,"('Java', 'React.Js', 'AppliTools', 'Unix Shell Scripting', 'JSON', 'Angular', 'Microservices', 'Rest')",19 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-development-engineer-test-mks-vision-pvt-ltd-hyderabad-secunderabad-5-to-10-years-201120006125?src=jobsearchDesk&sid=16075331657754872&xp=7&px=1,PREMIUM,"Should be strong in at least one programming language (Java, python, .NET) Ability to w..."
7,Full Stack Developer,NBITS,Hyderabad,2-7 Yrs,"('server', 'css', 'code', 'technical', 'Postgresql', 'developing', 'HTML', 'bootstrap')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-full-stack-developer-nbits-hyderabad-secunderabad-2-to-7-years-111218500208?src=jobsearchDesk&sid=16075331657754872&xp=8&px=1,NULL,Candidate should be able to understand the business requirements and any technical limi...
8,Sr. Developer - Web Applications,Korgen Technologies (P) Limited,Chennai,2-6 Yrs,"('IT Skills', 'PHP', 'HTML', 'CSS', 'Javascript', 'assembly language', 'css', 'C')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-developer-web-applications-korgen-technologies-p-limited-chennai-2-to-6-years-030217502712?src=jobsearchDesk&sid=16075331657754872&xp=9&px=1,NULL,Graduate in Computer Science or related discipline 5 years of programming experience in...
9,Senior Python Developers x 2,Eagle Genomics Ltd,Hyderabad,4-9 Yrs,"('rest', 'python', 'github', 'git', 'server side', 'Docker', 'Linux', 'Agile')",14 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-python-developers-x-2-eagle-genomics-ltd-hyderabad-secunderabad-4-to-9-years-030919011189?src=jobsearchDesk&sid=16075331657754872&xp=10&px=1,HOT JOB,THE COMPANY This is your opportunity to join a pioneering company working at the inters...
10,Job Opening For Python Developer @ Globaldata(Hyd),GlobalData,Hyderabad(Kondapur),3-5 Yrs,"('Web Crawling', 'Python', 'SQL', 'Nltk', 'NoSQL', 'Neo4J', 'Artificial Intelligence', 'Web Technologies')",4 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-opening-for-python-developer-globaldata-hyd-globaldata-hyderabad-secunderabad-3-to-5-years-281020002059?src=jobsearchDesk&sid=16075331657754872&xp=11&px=1,PREFERRED,Not considered BA / B.com / B.scBtech / Mtech/MCA onlyStrong experience in Entity extra...
11,Urgent Opening For Python Developer @ India (Remote Location),Klaxontech limited,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad",3-5 Yrs,"('python 3.x', 'numpy', 'API Development', 'sqlalchemy', 'pandas', 'API Design', 'database', 'MS SQL')",13 DAYS AGO,2020-12-09,"3,00,000 - 5,00,000 PA.",https://www.naukri.com/job-listings-urgent-opening-for-python-developer-india-remote-location-klaxontech-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-3-to-5-years-261120002335?src=jobsearchDesk&sid=16075331657754872&xp=12&px=1,HOT JOB,Well versed with best practices for the sameGood to have experience with Cloud deployme...
12,Backend Developer - Python/Django/REST API,CarbyneTech India,Hyderabad,2-5 Yrs,"('REST API', 'Git', 'Elasticsearch', 'Flask framework', 'Django', 'Microservices Architecture', 'PostgreSQL', 'Python')",15 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-backend-developer-python-django-rest-api-carbynetech-india-hyderabad-secunderabad-2-to-5-years-241120900807?src=jobsearchDesk&sid=16075331657754872&xp=13&px=1,PREMIUM,"Proficient understanding of code versioning tools such as Git, Bit Bucket Must have exp..."
13,Python Developer - Flask/Django/PostgreSQL,EchoIndia,Delhi/NCR Delhi NCR,2-4 Yrs,"('REST API', 'Git', 'Django', 'PostgreSQL', 'MySQL', 'Python', 'Flask', 'SQL')",2 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-flask-django-postgresql-echoindia-delhi-ncr-delhi-ncr-2-to-4-years-071220902193?src=jobsearchDesk&sid=16075331657754872&xp=14&px=1,PREMIUM,Experience in designing modern REST APIs that scale horizontally and vertically and pow...
14,Exciting Opportunities For Python Developer @ Innova Solutions,Innova Solutions Private Limited,Chennai,6-11 Yrs,"('Java', 'GIT', 'Docker', 'Terraform', 'Linux', 'RDBMS', 'Go', 'Athena')",12 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-exciting-opportunities-for-python-developer-innova-solutions-innova-solutions-private-limited-chennai-6-to-11-years-271120002596?src=jobsearchDesk&sid=16075331657754872&xp=15&px=1,PREMIUM,Terraform experience Qualification: Any Graduation 8+ years of verifiable full stack de...
15,DB Developer,Zymr Systems Pvt. Ltd.,"Pune, Ahmedabad, Bengaluru",6-11 Yrs,"('SQL Queries', 'DB developer', 'Oracle', 'Postgresql', 'Cassandra', 'Database Design', 'NoSQL', 'Linux')",15 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-db-developer-zymr-systems-pvt-ltd-pune-ahmedabad-bengaluru-bangalore-6-to-11-years-241120005723?src=jobsearchDesk&sid=16075331657754872&xp=16&px=1,PREMIUM,Comfortable working with Linux system and should be able to implement and run different...
16,Senior Software Engineer,Irdeto Technology India Private Limited,Delhi NCR,5-10 Yrs,"('C++', 'C', 'Github', 'Software Development', 'GIT', 'Linux', 'Docker', 'Software Engineering')",7 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-irdeto-technology-india-private-limited-delhi-ncr-5-to-10-years-241120002949?src=jobsearchDesk&sid=16075331657754872&xp=17&px=1,PREMIUM,"Hands on experience with web technologies, web services and browser-based software Prof..."
17,Software Engineer,Irdeto Technology India Private Limited,Delhi NCR,2-5 Yrs,"('C++', 'C', 'Github', 'Software Development', 'GIT', 'Linux', 'Docker', 'Software Engineering')",7 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-engineer-irdeto-technology-india-private-limited-delhi-ncr-2-to-5-years-241120002842?src=jobsearchDesk&sid=16075331657754872&xp=18&px=1,HOT JOB,"Hands on experience with web technologies, web services and browser-based software An o..."
18,Principal Software Engineer - Dev Ops,Skillsoft,Hyderabad,3-7 Yrs,"('GIT', 'Linux', 'Networking', 'cassandra', 'Postgresql', 'Shell scripting', 'Agile', 'splunk')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-principal-software-engineer-dev-ops-skillsoft-hyderabad-secunderabad-3-to-7-years-081220500288?src=jobsearchDesk&sid=16075331657754872&xp=19&px=1,PREMIUM,Experience deploying multi-tier software architecture in virtual infrastructure (Kubern...
19,PYTHON DEVELOPER,CodeTrade.io,Ahmedabad,1-6 Yrs,"('github', 'GIT', 'nginx', 'Postgresql', 'MySQL', 'Deployment', 'MongoDB', 'Python')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-codetrade-io-ahmedabad-1-to-6-years-200720501768?src=jobsearchDesk&sid=16075331657754872&xp=20&px=1,NULL,"Qualification : B.Tech or B.E, B.C.A prior to M.C.A Required Skills : 1+ year of develo..."
20,Python Developer - Bangalore,NETENRICH TECHNOLOGIES PVT LTD,Bengaluru,5-10 Yrs,"('Cybersecurity', 'Elastic search', 'Python', 'IT Skills', 'Python', 'Cloud', 'DevOps', 'Elastic Search')",27 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-bangalore-netenrich-technologies-pvt-ltd-bengaluru-bangalore-5-to-10-years-290720004396?src=jobsearchDesk&sid=16075332457788468&xp=1&px=2,HOT JOB,"Bachelor s degree or higher in Computer Science, MIS or equivalent preferred 3 years of..."
21,Python Developer,Click2Cloud Technology Services (I) Pvt. Ltd.,Nagpur,3-5 Yrs,"('IT Skills', 'Cloud', 'AWS', 'Unix', 'Version control', 'GIT', 'Linux', 'Postgresql')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-click2cloud-technology-services-i-pvt-ltd-nagpur-3-to-5-years-221020501175?src=jobsearchDesk&sid=16075332457788468&xp=2&px=2,NULL,"Experience with Docker deployments (Docker Swarm, Kubernetes, Openshift) will be prefer..."
22,Backend Developer (Python),GREY SWIFT PRIVATE LIMITED- Leegality,Delhi NCR,2-5 Yrs,"('python', 'git', 'api', 'Mean Stack', 'saas', 'linux')",19 DAYS AGO,2020-12-09,"6,00,000 - 12,00,000 PA.",https://www.naukri.com/job-listings-backend-developer-python-grey-swift-private-limited-leegality-delhi-ncr-2-to-5-years-201120000352?src=jobsearchDesk&sid=16075332457788468&xp=3&px=2,HOT JOB,Are you a seeker?Are you hungry?Do you dig tech startups?Does automation excite you?Do ...
23,python developer -Immediate,RANDSTAD INDIA PVT LTD,Bengaluru,8-12 Yrs,"('Data Science', 'Java', 'Data Engineering', 'GIT', 'Docker', 'Linux', 'SCALA', 'Aiml')",22 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-immediate-randstad-india-pvt-ltd-bengaluru-bangalore-8-to-12-years-171120000426?src=jobsearchDesk&sid=16075332457788468&xp=4&px=2,PREMIUM,"Hi, Greeting from Randstad!!We are hiring for one of our client for Bangalore location...."
24,Python Developer (SE/SSE),Industrybuying.com - Emtex Engineering Private Limited,Delhi(Ghitorni),2-6 Yrs,"('Rest API', 'Django', 'Python', 'Unit Testing', 'My Sql', 'Web Technologies', 'Front End', 'NoSQL')",21 DAYS AGO,2020-12-09,"6,00,000 - 12,00,000 PA.",https://www.naukri.com/job-listings-python-developer-se-sse-industrybuying-com-emtex-engineering-private-limited-delhi-2-to-6-years-160720002283?src=jobsearchDesk&sid=16075332457788468&xp=5&px=2,HOT JOB,"We are looking for a talented, skilled and experienced back-end web developer (Python/D..."
25,Python/Rest API Developer,Connecting2Work HR Solutions,Trivandrum,3-5 Yrs,"('Golang', 'RESTful API', 'Jira', 'Kubernetes', 'Django', 'REST API', 'Pytest', 'MySQL')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-rest-api-developer-connecting2work-hr-solutions-trivandrum-3-to-5-years-091220903644?src=jobsearchDesk&sid=16075332457788468&xp=6&px=2,HOT JOB,Minimum Requirements : - Capability to develop RESTful APIs for Web Applications in Pyt...
26,Python Developer,Splice Global Services,Gurgaon,2-5 Yrs,"('IT Skills', 'Python', 'Software Development', 'continuous integration', 'GIT', 'Linux', 'Coding', 'Postgresql')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-splice-global-services-gurgaon-2-to-5-years-091020500327?src=jobsearchDesk&sid=16075332457788468&xp=7&px=2,NULL,Experience with one or more relational databases (e.g5 years of experience in software ...
27,Python Developer,Splice Global Services,Gurgaon,2-5 Yrs,"('continuous integration', 'GIT', 'Linux', 'Coding', 'Postgresql', 'Django', 'MySQL', 'Agile')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-splice-global-services-gurgaon-2-to-5-years-091020500326?src=jobsearchDesk&sid=16075332457788468&xp=8&px=2,NULL,Experience with one or more relational databases (e.g5 years of experience in software ...
28,Python Developer / Python Lead / Python Architect,Mississippi Consultants LLP,Pune,4-9 Yrs,"('Unix', 'Linux', 'Docker', 'Django', 'Architecting', 'Rest Api', 'Flask', 'Python')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-python-lead-python-architect-mississippi-consultants-llp-pune-4-to-9-years-081220907177?src=jobsearchDesk&sid=16075332457788468&xp=9&px=2,PREMIUM,Role : Architect/ Python Lead/Python DeveloperExperience : 5 t 15 YearsJob Location : P...
29,Python Developer For Delhi Based USA Company,Greenleap Inspirations Consulting services LLP,Delhi NCR(Surajmal Vihar),1-3 Yrs,"('Maven', 'Ant', 'hibernate', 'python programmer', 'python developer', 'non relational db', 'sql', 'nosql')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-for-delhi-based-usa-company-greenleap-inspirations-consulting-services-llp-delhi-ncr-1-to-3-years-081220903422?src=jobsearchDesk&sid=16075332457788468&xp=10&px=2,NULL,"Working experience in SOAP, Restful and having good problem solving skillsMUST HAVE pra..."
30,Urgent requirement For Python Developer (Client Site),Symmetrical Global Search Private Limited,"Delhi NCR, Gurgaon",5-10 Yrs,"('Docker', 'Linux', 'rest api', 'OOPS', 'Postgresql', 'Javascript', 'Python', 'Flask')",NULL,2020-12-09,"7,00,000 - 10,00,000 PA.",https://www.naukri.com/job-listings-urgent-requirement-for-python-developer-client-site-symmetrical-global-search-private-limited-delhi-ncr-gurgaon-5-to-10-years-081220005947?src=jobsearchDesk&sid=16075332457788468&xp=11&px=2,HOT JOB,Experience - 3-5 years
31,Python Developer - C2H - Immediate Joiners ONLY,Kelly Services India Pvt. Ltd.,"Pune, Ahmedabad, Bengaluru",5-10 Yrs,"('Pyspark', 'Express', 'boto', 'Numpy', 'SQL', 'Rabbitmq', 'GIT', 'Linux')",NULL,2020-12-09,"8,50,000 - 18,50,000 PA.",https://www.naukri.com/job-listings-python-developer-c2h-immediate-joiners-only-kelly-services-india-pvt-ltd-pune-ahmedabad-bengaluru-bangalore-5-to-10-years-081220001837?src=jobsearchDesk&sid=16075332457788468&xp=12&px=2,HOT JOB,The role is with one of the leading cloud service providing firm.C2H roleLocation: Ahme...
32,Python Developer,Varite,Bengaluru,4-6 Yrs,"('IT Skills', 'Python', 'DevOps', 'Jenkins', 'AWS', 'Unix', 'Linux', 'SQL database')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-varite-bengaluru-bangalore-4-to-6-years-071120500464?src=jobsearchDesk&sid=16075332457788468&xp=13&px=2,NULL,Description POSITION GENERAL DUTIES AND TASKS : . - . 4+ yrs in Python - intermediate l...
33,Python Developer,Varite,Bengaluru,3-6 Yrs,"('IT Skills', 'Python', 'DevOps', 'Jenkins', 'AWS', 'Unix', 'Linux', 'SQL database')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-varite-bengaluru-bangalore-3-to-6-years-071120500463?src=jobsearchDesk&sid=16075332457788468&xp=14&px=2,NULL,"Description Python Developer 4+ yrs in Python - intermediate level AWS (Lambda, CloudFo..."
34,Sr Python Developer,Splice Global Services,Gurgaon,2-5 Yrs,"('IT Skills', 'Python', 'Software Development', 'continuous integration', 'GIT', 'Linux', 'Coding', 'Postgresql')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-python-developer-splice-global-services-gurgaon-2-to-5-years-051020501399?src=jobsearchDesk&sid=16075332457788468&xp=15&px=2,NULL,Experience with one or more relational databases (e.g5 years of experience in software ...
35,ReactJS Developer,Varite,Bengaluru,2-6 Yrs,"('Front end', 'DOM', 'GIT', 'Postgresql', 'MySQL', 'Javascript', 'MongoDB', 'Oracle')",11 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-reactjs-developer-varite-bengaluru-bangalore-2-to-6-years-281120500002?src=jobsearchDesk&sid=16075332457788468&xp=16&px=2,NULL,"Experience with common front-end development tools such as Babel, Webpack, NPM, etcExpe..."
36,Opening For Team Lead Java Developer Role-Mumbai,StriveX Consulting Pvt. Ltd,Mumbai,8-13 Yrs,"('Java', 'Hibernate', 'SQL Queries', 'Spring Boot', 'Spring', 'Jenkins', 'GIT', 'Docker')",8 DAYS AGO,2020-12-09,"20,00,000 - 27,50,000 PA.",https://www.naukri.com/job-listings-opening-for-team-lead-java-developer-role-mumbai-strivex-consulting-pvt-ltd-mumbai-8-to-13-years-281120003330?src=jobsearchDesk&sid=16075332457788468&xp=17&px=2,PREMIUM,Hiring for renowned software company based in Mumbai. Work Location : Mumbai Experience...
37,Python Full Stack Developer - MongoDB/ Docker/ Kubernetes,Wrackle Technologies Pvt Ltd,Bengaluru,3-8 Yrs,"('RabbitMQ', 'Multithreading', 'Git', 'Docker', 'TDD', 'Microservices Architecture', 'Kafka', 'MongoDB')",14 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-full-stack-developer-mongodb-docker-kubernetes-wrackle-technologies-pvt-ltd-bengaluru-bangalore-3-to-8-years-251120904815?src=jobsearchDesk&sid=16075332457788468&xp=18&px=2,PREMIUM,Who are we looking for: - Bachelors / Masters in Computer Science or equivalent with at...
38,Java Developer II,Expeditors International (India) Pvt. Ltd,Chennai,5-8 Yrs,"('nexus', 'rest api', 'full stack developer', 'hibernate', 'jasmine', 'hibernate framework', 'jquery', 'spring')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-java-developer-ii-expeditors-international-india-pvt-ltd-chennai-5-to-8-years-230519004690?src=jobsearchDesk&sid=16075332457788468&xp=19&px=2,HOT JOB,"Experience with Angular 2 or more, Kafka, Spring, Hibernate, typescript, HTML, CSS, SQL..."
39,"Night Shift Backend Developer (PHP, PostgreSql, GraphDB, AWS, Linux)",AQB Solutions Private Limited,Kolkata,2-5 Yrs,"('Container', 'NoSQL', 'Docker', 'Linux', 'Postgresql', 'Data Structures', 'Web Technologies', 'Redis')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-night-shift-backend-developer-php-postgresql-graphdb-aws-linux-aqb-solutions-private-limited-kolkata-2-to-5-years-171120001915?src=jobsearchDesk&sid=16075332457788468&xp=20&px=2,HOT JOB,"The ideal candidate will be responsible for designing and developing highly scalable, r..."
40,Sr. Developer,ECOMMERCE CONSULTANTS PRIVATE LIMITED,Hyderabad,5-7 Yrs,"('Java', 'Software Development', 'GIT', 'Linux', 'Postgresql', 'Django', 'Javascript', 'Redis')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-developer-ecommerce-consultants-private-limited-hyderabad-secunderabad-5-to-7-years-081220600566?src=jobsearchDesk&sid=1607533407533298&xp=1&px=3,PREFERRED,"Roles and Responsibilities Building and maintaining tools, solutions and microservices ..."
41,Sr. Developer,ECOMMERCE CONSULTANTS PRIVATE LIMITED,Hyderabad,5-7 Yrs,"('Java', 'Software Development', 'GIT', 'Linux', 'Postgresql', 'Django', 'Javascript', 'Redis')",NULL,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-sr-developer-ecommerce-consultants-private-limited-hyderabad-secunderabad-5-to-7-years-081220000567?src=jobsearchDesk&sid=1607533407533298&xp=2&px=3,HOT JOB,"Roles and Responsibilities Building and maintaining tools, solutions and microservices ..."
42,"Developer Software.-AWS,API",Empower Retirement,Bengaluru,1-6 Yrs,"('Process design', 'Unix', 'Linux', 'XML', 'Customer service', 'Windows', 'Oracle', 'Technical support')",2 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-developer-software-aws-api-empower-retirement-bengaluru-bangalore-1-to-6-years-071220500828?src=jobsearchDesk&sid=1607533407533298&xp=3&px=3,NULL,Provide and develop solutions for complex business process design powered by APIs in di...
43,Atos|Syntel- Hiring For FullStack Developer-Pune,AtoslSyntel Private Limited,Pune,4-9 Yrs,"('Node.Js', 'MongoDB', 'MVC', 'CSS', 'Web Technologies', 'SQL Database', 'Rest Api', 'Javascript Frameworks')",5 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-atos-syntel-hiring-for-fullstack-developer-pune-atoslsyntel-private-limited-pune-4-to-9-years-041220004959?src=jobsearchDesk&sid=1607533407533298&xp=4&px=3,HOT JOB,Proficiency in Javascript frameworks to build single page and responsive web applicatio...
44,Odoo Developer,ProBytes Software Pvt Ltd,Pune,2-5 Yrs,"('CSS', 'Scratch', 'Unit Testing', 'oddo', 'Linux', 'Relational Databases', 'Html5', 'Postgresql')",6 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-odoo-developer-probytes-software-pvt-ltd-pune-2-to-5-years-031220005500?src=jobsearchDesk&sid=1607533407533298&xp=5&px=3,HOT JOB,"Experience with designing and developing Odoo apps (new module development, customizati..."
45,Cloud Developer ( Go Lang),IBM India Pvt. Limited,Bengaluru,5-10 Yrs,"('Javascript', 'Python', 'REST / RESTful APIs', 'NodeJS', 'Angular JS', 'Networking', 'JSON', 'Go Lang')",8 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-cloud-developer-go-lang-ibm-india-pvt-limited-bengaluru-bangalore-5-to-10-years-011220903854?src=jobsearchDesk&sid=1607533407533298&xp=6&px=3,HOT JOB,Shift between multiple projects and technologiesShould have 3-5 experience on Full stac...
46,Python Developer,B-Mates Technologies,Kochi,4-9 Yrs,"('IT Skills', 'Python', 'CSS', 'Postgresql', 'tools', 'database', 'Front end', 'NoSQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-b-mates-technologies-ernakulam-kochi-cochin-4-to-9-years-250619501760?src=jobsearchDesk&sid=1607533407533298&xp=7&px=3,NULL,Overall 4+ years experience in python development. At least 2 life cycles in Python - w...
47,Python Developer,Diverse Lynx,Bengaluru,2-6 Yrs,"('IT Skills', 'Python', 'Ubuntu', 'GIT', 'NoSQL', 'Web technologies', 'Linux', 'Coding')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-diverse-lynx-bengaluru-bangalore-2-to-6-years-240320500307?src=jobsearchDesk&sid=1607533407533298&xp=8&px=3,PREMIUM,"Knowledge of Algorithms (sorting, searching), Data Structures (Trees, Stack and Queue) ..."
48,Python Developer,Tech Active Solutions India (P) Limited,Bengaluru,3-5 Yrs,"('algorithms', 'css', 'software', 'html5', 'Postgresql', 'HTML', 'tools', 'jQuery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-tech-active-solutions-india-p-limited-bengaluru-bangalore-3-to-5-years-220519501185?src=jobsearchDesk&sid=1607533407533298&xp=9&px=3,NULL,"Python Developer Role Type: Full Time Job Description: Architect , develop and deploy s..."
49,Opportunity For Python & Django Developers,ITWox Software technologies Pvt ltd,Pune,4-8 Yrs,"('Django', 'MySQL', 'Python', 'Jenkins', 'GIT', 'restful API', 'MongoDB', 'SVN')",21 DAYS AGO,2020-12-09,"5,00,000 - 14,00,000 PA.",https://www.naukri.com/job-listings-opportunity-for-python-django-developers-itwox-software-technologies-pvt-ltd-pune-4-to-8-years-181120003024?src=jobsearchDesk&sid=1607533407533298&xp=10&px=3,HOT JOB,"Amazon Web Services (AWS) infrastructure knowledge is a plus, Preferably Lambda, glue, ..."
50,Python Developer,Squircle IT Consulting Services Pvt Ltd,Pune,5-7 Yrs,"('Web application development', 'GIT', 'Data modeling', 'Postgresql', 'Django', 'Deployment', 'Workflow', 'JSON')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-squircle-it-consulting-services-pvt-ltd-pune-5-to-7-years-150520500032?src=jobsearchDesk&sid=1607533407533298&xp=11&px=3,PREMIUM,Job Description ) Python Developer We have immediate requirement for Sr Python Develope...
51,Senior Python (Django) Backend Developer,Finpoint,Bengaluru,2-5 Yrs,"('python', 'project management', 'software development', 'testing', 'sql', 'nosql', 'cloud', 'Backend')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-python-django-backend-developer-finpoint-bengaluru-bangalore-2-to-5-years-061119501048?src=jobsearchDesk&sid=1607533407533298&xp=12&px=3,NULL,Requirements: Proven experience as a Senior Software Engineer Extensive experience in s...
52,Python Developer,Indian Mesh Pvt. Ltd.,multiple location,2-7 Yrs,"('bca', 'Data structures', 'Workflow', 'mca', 'it', 'Algorithms', 'Version control', 'GIT')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-indian-mesh-pvt-ltd-multiple-location-2-to-7-years-061117500257?src=jobsearchDesk&sid=1607533407533298&xp=13&px=3,NULL,"Experience of developing, deploying and maintaining at least one web application in Pyt..."
53,Python Developer,FinByz Tech Pvt Ltd,Ahmedabad,0-5 Yrs,"('SQL queries', 'ERP', 'Front end', 'GIT', 'Linux', 'Django', 'Javascript', 'Database')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-python-developer-finbyz-tech-pvt-ltd-ahmedabad-0-to-5-years-031219500809?src=jobsearchDesk&sid=1607533407533298&xp=14&px=3,NULL,Job Description Create web applications in frappe and Django framework. Understand exis...
54,Backend Developer – PHP & Laravel Technology,Tickled Media,Mumbai,4-9 Yrs,"('IT Skills', 'PHP', 'Testing', 'HTML', 'Javascript', 'Jenkins', 'AWS', 'REST API')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-backend-developer-php-laravel-technology-tickled-media-mumbai-4-to-9-years-061120902302?src=jobsearchDesk&sid=1607533407533298&xp=15&px=3,PREMIUM,Roles and ResponsibilitiesWe are looking for a Backend Engineers with 4+ years of exper...
